X,Y
-9.941645587157335,-1.0787414052288373
-9.914395891367512,-1.3056623258848306
-9.851918087888984,-1.7145582490909594
-9.840040322418904,-1.7814618865330936
-9.738812671389997,-2.270578726134295
-9.670421255257471,-2.5461643202795257
-9.561891151300994,-2.927496816509242
-9.536480219635406,-3.00924326376294
-9.241823512328644,-3.819515436147557
-9.213776406934977,-3.886685518923338
-9.19367828282821,-3.9339902938178346
-8.910025951893276,-4.53998210751852
-8.689045121824574,-4.949797457562942
-8.65586799262266,-5.007589169879111
-8.6246053984886,-5.061243100302662
-8.240903232482117,-5.664584178284034
-7.552148997579425,-6.554772728200429
-7.2569393153537645,-6.880176725439022
-7.015304016781765,-7.126395270550577
-6.293758803830645,-7.771010238006656
-6.28393902173727,-7.77895303823642
-6.252128252832023,-7.804543055819449
-6.185671578540756,-7.857319334380723
-5.769739548953462,-8.167625452800973
-5.5447295294724555,-8.322017450414062
-4.6716750091255825,-8.841688334764548
-3.757681781118177,-9.267136970599525
-3.3713699299866757,-9.414556006269315
-0.15932624020479982,-9.998730676900054
0.27154047999760655,-9.996312608543347
1.2029873024524063,-9.927377375225458
1.377742005617222,-9.904636639774214
1.9858994391187985,-9.80082667011858
2.762456512962695,-9.610870616858287
5.140250546507014,-8.577751705379116
5.594714273492664,-8.288496377388208
6.654894905902914,-7.46407219896669
6.7031897549805395,-7.420730901247122
7.295886874218081,-6.838862092381474
7.435165702920149,-6.687175111369518
8.196213403385613,-5.7290562788440145
8.489158504975741,-5.285280302632781
8.909914164548365,-4.540201491165387
9.218205974690129,-3.876168031469641
9.58738316243544,-2.8429006483958292
9.854434936047884,-1.700032967680016
9.923866716146206,-1.231612520302354
9.978906862085351,-0.6491670338409629
9.99960192105089,0.08922679258694954
9.99947907935736,0.10206929751141175
9.998682239569593,0.1623375252847783
9.974978111652987,0.7069736006696434
9.533330251467508,3.0192075643212206
9.373860859556453,3.482920123355622
8.577546284545024,5.140593325335885
7.497888643733094,6.6167715606765745
7.241567233115063,6.896354399845926
6.71264059057398,7.412182964672324
6.593885111860845,7.5180236187165494
6.152978686760756,7.8829469921005995
5.9468865412211835,8.03956096225673
5.217817687993817,8.530790032280649
4.615280817595577,8.87125599758762
4.460504147761652,8.950078365455864
4.374414241942954,8.992469073613021
4.032808866187753,9.150762408061826
3.909236934045652,9.204230907223772
3.6614023544169565,9.305596853457063
3.521215491309614,9.359542802068976
3.189046589253928,9.477868001379207
3.0130598432708533,9.535275055333676
2.9626428116984416,9.551060023384396
0.18453817676167175,9.998297138078938
-0.3082528775949358,9.995247879040042
-1.9145734713263083,9.815009344004391
-2.571374632871781,9.663748366830726
-2.9238946018068015,9.562993273945406
-3.0778613712735616,9.51455565852773
-3.32935030068543,9.429497684146586
-4.047048870093733,9.144473491845938
-4.732930243859406,8.809050533784044
-5.1774383052826085,8.555356953102093
-5.199381110339098,8.542039339024901
-5.723881938859586,8.199827775630231
-6.650540969490486,7.46795184860806
-6.821505787737694,7.312117257529528
-6.834381733200917,7.300083994372231
-6.850165749298693,7.285274820288873
-6.994255824326567,7.14705432075858
-7.032921292918363,7.109009641828846
-7.210987749928693,6.9283227169624775
-7.626620042011446,6.467972382036686
-8.102641916529622,5.860647914053291
-8.962909583526073,4.434664789759927
-9.047453190481287,4.259529406642242
-9.735610843955023,2.2842682625001305
-9.936595478079353,1.1243088121210079
-9.955976570681601,0.9372995914002296
-9.972692672613382,0.7385125981344891
-9.981109099880907,-0.6143786587069439
